Player,Span,Mat,Inns,NO,RunsDescending,HS,Ave,BF,SR,100,50,0,4s,6s,
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
A Chandila,2012-2013,12,2,2,4,4*,-,7,57.14,0,0,0,0,0,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
A Dananjaya,2018-2018,1,1,1,4,4*,-,5,80,0,0,0,0,0,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
FH Edwards,2009-2009,6,2,1,4,3*,4,5,80,0,0,0,0,0,investigate this query
(Deccan Chargers),,,,,,,,,,,,,,,
CRD Fernando,2008-2010,10,2,2,4,2*,-,3,133.33,0,0,0,0,0,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
Litton Das,2023-2023,1,1,0,4,4,4,4,100,0,0,0,1,0,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
GD McGrath,2008-2008,14,3,2,4,4*,4,5,80,0,0,1,1,0,investigate this query
(Delhi Daredevils),,,,,,,,,,,,,,,
DP Nannes,2009-2013,29,3,2,4,3,4,13,30.76,0,0,0,0,0,investigate this query
"(Chennai Super Kings, Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
VRV Singh,2008-2010,19,2,0,4,4,2,3,133.33,0,0,1,1,0,investigate this query
(Kings XI Punjab),,,,,,,,,,,,,,,
RS Sodhi,2010-2010,3,1,1,4,4*,-,2,200,0,0,0,1,0,investigate this query
(Kings XI Punjab),,,,,,,,,,,,,,,
A Tomar,2022-2022,1,1,0,4,4,4,8,50,0,0,0,1,0,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
A Uniyal,2010-2010,2,2,1,4,4*,4,7,57.14,0,0,1,0,0,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
Yash Dayal,2022-2025,43,4,1,4,3,1.33,9,44.44,0,0,2,0,0,investigate this query
"(Gujarat Titans, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
D Kalyankrishna,2008-2008,3,1,0,3,3,3,8,37.5,0,0,0,0,0,investigate this query
(Deccan Chargers),,,,,,,,,,,,,,,
Kamran Khan,2009-2011,9,2,1,3,3,3,5,60,0,0,0,0,0,investigate this query
"(Pune Warriors, Rajasthan Royals)",,,,,,,,,,,,,,,
K Kushagra,2024-2024,4,3,0,3,2,1,7,42.85,0,0,1,0,0,investigate this query
(Delhi Capitals),,,,,,,,,,,,,,,
BAW Mendis,2008-2013,10,3,1,3,2,1.5,6,50,0,0,1,0,0,investigate this query
"(Kolkata Knight Riders, Pune Warriors)",,,,,,,,,,,,,,,
Mohammad Asif,2008-2008,8,2,0,3,3,1.5,6,50,0,0,1,0,0,investigate this query
(Delhi Daredevils),,,,,,,,,,,,,,,
T Natarajan,2017-2025,63,4,4,3,3*,-,5,60,0,0,0,0,0,investigate this query
"(Delhi Capitals, Kings XI Punjab, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
R Ninan,2011-2011,2,1,0,3,3,3,6,50,0,0,0,0,0,investigate this query
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
JE Taylor,2011-2011,5,2,1,3,2,3,3,100,0,0,0,0,0,investigate this query
(Pune Warriors),,,,,,,,,,,,,,,
M Tiwari,2025-2025,1,1,0,3,3,3,4,75,0,0,0,0,0,investigate this query
(Delhi Capitals),,,,,,,,,,,,,,,
RJW Topley,2023-2025,6,1,1,3,3*,-,6,50,0,0,0,0,0,investigate this query
"(Mumbai Indians, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
S Tyagi,2009-2010,14,3,2,3,3*,3,4,75,0,0,1,0,0,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
GC Viljoen,2019-2019,6,3,1,3,2*,1.5,7,42.85,0,0,1,0,0,investigate this query
(Kings XI Punjab),,,,,,,,,,,,,,,
Younis Khan,2008-2008,1,1,0,3,3,3,7,42.85,0,0,0,0,0,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
KK Ahmed,2018-2025,71,7,2,2,1*,0.4,9,22.22,0,0,4,0,0,investigate this query
"(Chennai Super Kings, Delhi Capitals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
KP Appanna,2009-2012,14,3,2,2,1*,2,4,50,0,0,0,0,0,investigate this query
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
H Das,2008-2008,1,1,0,2,2,2,5,40,0,0,0,0,0,investigate this query
(Deccan Chargers),,,,,,,,,,,,,,,
GHS Garton,2021-2021,5,3,2,2,2*,2,4,50,0,0,1,0,0,investigate this query
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
RS Gavaskar,2010-2010,2,1,0,2,2,2,8,25,0,0,0,0,0,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
RJ Gleeson,2024-2025,3,1,1,2,2*,-,2,100,0,0,0,0,0,investigate this query
"(Chennai Super Kings, Mumbai Indians)",,,,,,,,,,,,,,,
S Randiv,2011-2011,8,1,0,2,2,2,4,50,0,0,0,0,0,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
Mashrafe Mortaza,2009-2009,1,1,1,2,2*,-,2,100,0,0,0,0,0,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
Mohammad Ashraful,2009-2009,1,1,0,2,2,2,10,20,0,0,0,0,0,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
RG More,2015-2015,2,1,1,2,2*,-,2,100,0,0,0,0,0,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
T Shamsi,2016-2021,5,1,1,2,2*,-,4,50,0,0,0,0,0,investigate this query
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
BR Sharath,2024-2024,1,1,0,2,2,2,5,40,0,0,0,0,0,investigate this query
(Gujarat Titans),,,,,,,,,,,,,,,
Shivam Singh,2024-2024,1,1,1,2,2*,-,3,66.66,0,0,0,0,0,investigate this query
(Punjab Kings),,,,,,,,,,,,,,,
Shoaib Akhtar,2008-2008,3,1,0,2,2,2,7,28.57,0,0,0,0,0,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
A Singh,2009-2012,23,5,1,2,1*,0.5,10,20,0,0,3,0,0,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
SB Wagh,2010-2011,8,2,0,2,2,1,3,66.66,0,0,1,0,0,investigate this query
"(Pune Warriors, Rajasthan Royals)",,,,,,,,,,,,,,,
VS Yeligati,2008-2008,2,1,0,2,2,2,2,100,0,0,0,0,0,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
Abdul Basith,2023-2023,1,1,1,1,1*,-,1,100,0,0,0,0,0,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
MS Bhandage,2025-2025,1,1,0,1,1,1,4,25,0,0,0,0,0,investigate this query
(Royal Challengers Bengaluru),,,,,,,,,,,,,,,
SE Bond,2010-2010,8,1,0,1,1,1,2,50,0,0,0,0,0,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
M de Lange,2012-2015,5,1,0,1,1,1,2,50,0,0,0,0,0,investigate this query
"(Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,,
HF Gurney,2019-2019,8,1,1,1,1*,-,5,20,0,0,0,0,0,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
BE Hendricks,2014-2015,7,3,2,1,1*,1,3,33.33,0,0,1,0,0,investigate this query
(Kings XI Punjab),,,,,,,,,,,,,,,
KA Maharaj,2024-2024,2,1,0,1,1,1,2,50,0,0,0,0,0,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
Mohit Rathee,2023-2023,1,1,1,1,1*,-,2,50,0,0,0,0,0,investigate this query
(Punjab Kings),,,,,,,,,,,,,,,
SZ Mulani,2024-2024,2,1,1,1,1*,-,1,100,0,0,0,0,0,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
DJ Muthuswami,2015-2015,6,2,1,1,1,1,3,33.33,0,0,0,0,0,investigate this query
(Delhi Daredevils),,,,,,,,,,,,,,,
P Parameswaran,2011-2012,8,2,2,1,1*,-,2,50,0,0,0,0,0,investigate this query
"(Kochi Tuskers Kerala, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
LE Plunkett,2018-2018,7,2,1,1,1*,1,3,33.33,0,0,1,0,0,investigate this query
(Delhi Daredevils),,,,,,,,,,,,,,,
PVSN Raju,2025-2025,2,1,1,1,1*,-,1,100,0,0,0,0,0,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
DS Rathi,2025-2025,13,2,1,1,1,1,3,33.33,0,0,0,0,0,investigate this query
(Lucknow Super Giants),,,,,,,,,,,,,,,
NJ Rimmington,2011-2011,1,1,1,1,1*,-,1,100,0,0,0,0,0,investigate this query
(Kings XI Punjab),,,,,,,,,,,,,,,
PM Sarvesh Kumar,2008-2008,2,1,1,1,1*,-,2,50,0,0,0,0,0,investigate this query
(Deccan Chargers),,,,,,,,,,,,,,,
Shoaib Ahmed,2009-2009,8,3,1,1,1*,0.5,6,16.66,0,0,2,0,0,investigate this query
(Deccan Chargers),,,,,,,,,,,,,,,
MJ Suthar,2024-2024,1,1,0,1,1,1,2,50,0,0,0,0,0,investigate this query
(Gujarat Titans),,,,,,,,,,,,,,,
DP Vijaykumar,2008-2008,9,2,2,1,1*,-,1,100,0,0,0,0,0,investigate this query
(Deccan Chargers),,,,,,,,,,,,,,,
LB Williams,2024-2024,2,1,1,1,1*,-,2,50,0,0,0,0,0,investigate this query
(Delhi Capitals),,,,,,,,,,,,,,,
S Ladda,2010-2016,9,2,1,0,0*,0,9,0,0,0,1,0,0,investigate this query
"(Delhi Daredevils, Gujarat Lions, Kolkata Knight Riders)",,,,,,,,,,,,,,,
YA Abdulla,2009-2010,11,1,1,0,0*,-,1,0,0,0,0,0,0,investigate this query
(Kings XI Punjab),,,,,,,,,,,,,,,
Abdur Razzak,2008-2008,1,1,1,0,0*,-,2,0,0,0,0,0,0,investigate this query
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
L Ablish,2010-2011,3,1,1,0,0*,-,2,0,0,0,0,0,0,investigate this query
(Kings XI Punjab),,,,,,,,,,,,,,,
KM Asif,2018-2023,7,1,0,0,0,0,2,0,0,0,1,0,0,investigate this query
"(Chennai Super Kings, Rajasthan Royals)",,,,,,,,,,,,,,,
RR Bhatkal,2012-2012,1,1,0,0,0,0,2,0,0,0,1,0,0,investigate this query
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
SS Cottrell,2020-2020,6,1,0,0,0,0,2,0,0,0,1,0,0,investigate this query
(Kings XI Punjab),,,,,,,,,,,,,,,
MJ Dagar,2023-2024,8,1,0,0,0,0,1,0,0,0,1,0,0,investigate this query
"(Royal Challengers Bengaluru, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
JL Denly,2019-2019,1,1,0,0,0,0,1,0,0,0,1,0,0,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
ND Doshi,2010-2011,4,1,0,0,0,0,13,0,0,0,1,0,0,investigate this query
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
C Ganapathy,2010-2010,1,1,1,0,0*,-,0,-,0,0,0,0,0,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
Sunny Gupta,2012-2012,1,1,0,0,0,0,1,0,0,0,1,0,0,investigate this query
(Delhi Daredevils),,,,,,,,,,,,,,,
BW Hilfenhaus,2012-2014,17,1,1,0,0*,-,0,-,0,0,0,0,0,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
U Kaul,2008-2008,5,1,1,0,0*,-,1,0,0,0,0,0,0,investigate this query
(Kings XI Punjab),,,,,,,,,,,,,,,
S Kaushik,2016-2017,10,2,1,0,0*,0,1,0,0,0,1,0,0,investigate this query
(Gujarat Lions),,,,,,,,,,,,,,,
S Lamichhane,2018-2019,9,1,0,0,0,0,1,0,0,0,1,0,0,investigate this query
"(Delhi Capitals, Delhi Daredevils)",,,,,,,,,,,,,,,
RP Meredith,2021-2023,18,3,3,0,0*,-,3,0,0,0,0,0,0,investigate this query
"(Mumbai Indians, Punjab Kings)",,,,,,,,,,,,,,,
Musheer Khan,2025-2025,1,1,0,0,0,0,3,0,0,0,1,0,0,investigate this query
(Punjab Kings),,,,,,,,,,,,,,,
C Nanda,2009-2009,3,1,0,0,0,0,1,0,0,0,1,0,0,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
A Nel,2008-2008,1,1,0,0,0,0,0,-,0,0,1,0,0,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
L Ngidi,2018-2025,16,1,1,0,0*,-,2,0,0,0,0,0,0,investigate this query
"(Chennai Super Kings, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
MJ Owen,2025-2025,1,1,0,0,0,0,2,0,0,0,1,0,0,investigate this query
(Punjab Kings),,,,,,,,,,,,,,,
IC Pandey,2013-2015,25,1,0,0,0,0,2,0,0,0,1,0,0,investigate this query
"(Chennai Super Kings, Pune Warriors)",,,,,,,,,,,,,,,
V Pratap Singh,2012-2012,9,1,0,0,0,0,1,0,0,0,1,0,0,investigate this query
(Deccan Chargers),,,,,,,,,,,,,,,
Y Prithvi Raj,2019-2019,2,1,1,0,0*,-,1,0,0,0,0,0,0,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
KS Rathore,2025-2025,1,1,0,0,0,0,5,0,0,0,1,0,0,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
R Sanjay Yadav,2022-2022,1,1,0,0,0,0,2,0,0,0,1,0,0,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
KR Sen,2022-2024,12,1,1,0,0*,-,3,0,0,0,0,0,0,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
TP Sudhindra,2012-2012,3,1,1,0,0*,-,0,-,0,0,0,0,0,investigate this query
(Deccan Chargers),,,,,,,,,,,,,,,
K Yadav,2021-2023,3,1,1,0,0*,-,4,0,0,0,0,0,0,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
P Amarnath,2008-2008,6,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
SS Agarwal,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Gujarat Lions),,,,,,,,,,,,,,,
Akash Singh,2021-2025,10,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
"(Chennai Super Kings, Lucknow Super Giants, Rajasthan Royals)",,,,,,,,,,,,,,,
Anand Rajan,2011-2013,8,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
"(Deccan Chargers, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Ashwani Kumar,2025-2025,7,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
SM Boland,2016-2016,2,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Rising Pune Supergiants),,,,,,,,,,,,,,,
RR Bose,2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Kings XI Punjab),,,,,,,,,,,,,,,
N Burger,2024-2024,6,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
CJ Dala,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Delhi Daredevils),,,,,,,,,,,,,,,
KH Devdhar,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Deccan Chargers),,,,,,,,,,,,,,,
P Dharmani,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Kings XI Punjab),,,,,,,,,,,,,,,
HS Dubey,2025-2025,3,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
Gagandeep Singh,2008-2008,4,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Kings XI Punjab),,,,,,,,,,,,,,,
B Geeves,2008-2008,2,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Delhi Daredevils),,,,,,,,,,,,,,,
R Goyal,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
CJ Green,2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
Gurnoor Brar,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Punjab Kings),,,,,,,,,,,,,,,
RS Hangargekar,2023-2023,2,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
Harmeet Singh,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
JW Hastings,2014-2016,3,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
"(Chennai Super Kings, Kolkata Knight Riders)",,,,,,,,,,,,,,,
MJ Henry,2017-2024,6,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
"(Kings XI Punjab, Lucknow Super Giants)",,,,,,,,,,,,,,,
Himmat Singh,2025-2025,3,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Lucknow Super Giants),,,,,,,,,,,,,,,
D Jansen,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
S Joseph,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Lucknow Super Giants),,,,,,,,,,,,,,,
Karim Janat,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Gujarat Titans),,,,,,,,,,,,,,,
V Kaverappa,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Punjab Kings),,,,,,,,,,,,,,,
AA Kazi,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
K Khejroliya,2018-2025,8,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
"(Gujarat Titans, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
SC Kuggeleijn,2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
JB Little,2023-2024,11,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Gujarat Titans),,,,,,,,,,,,,,,
SSB Magala,2023-2023,2,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
E Malinga,2025-2025,7,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
LI Meriwala,2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Delhi Capitals),,,,,,,,,,,,,,,
S Midhun,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
T Mishra,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Deccan Chargers),,,,,,,,,,,,,,,
Monu Kumar,2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
SS Mundhe,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Pune Warriors),,,,,,,,,,,,,,,
MG Neser,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Kings XI Punjab),,,,,,,,,,,,,,,
W O'Rourke,2025-2025,3,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Lucknow Super Giants),,,,,,,,,,,,,,,
MB Parmar,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
M Pathirana,2022-2025,32,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
RV Pawar,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
IC Porel,2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Punjab Kings),,,,,,,,,,,,,,,
P Prasanth,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Kochi Tuskers Kerala),,,,,,,,,,,,,,,
LG Pretorius,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
RW Price,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
V Puthur,2025-2025,5,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
AM Salvi,2009-2011,7,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Delhi Daredevils),,,,,,,,,,,,,,,
S Sandeep Warrier,2019-2024,10,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
"(Gujarat Titans, Kolkata Knight Riders)",,,,,,,,,,,,,,,
GS Sandhu,2015-2015,3,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Delhi Daredevils),,,,,,,,,,,,,,,
K Santokie,2014-2014,2,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
SS Sarkar,2009-2009,2,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
Jalaj S Saxena,2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Punjab Kings),,,,,,,,,,,,,,,
RA Shaikh,2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
H Sharma,2023-2024,2,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
"(Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
M Siddharth,2024-2025,5,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Lucknow Super Giants),,,,,,,,,,,,,,,
NB Singh,2017-2017,2,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Gujarat Lions),,,,,,,,,,,,,,,
PH Solanki,2022-2022,2,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
P Suyal,2013-2015,5,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
Suyash Sharma,2023-2025,27,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
"(Kolkata Knight Riders, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
Tejas Baroka,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Gujarat Lions),,,,,,,,,,,,,,,
Yash Thakur,2023-2025,21,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
"(Lucknow Super Giants, Punjab Kings)",,,,,,,,,,,,,,,
O Thomas,2019-2019,4,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
N Thushara,2024-2025,8,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
"(Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
MP Yadav,2024-2025,6,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Lucknow Super Giants),,,,,,,,,,,,,,,
Zeeshan Ansari,2025-2025,10,-,-,-,-,-,-,-,-,-,-,-,-,investigate this query
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
