Player,Span,Mat,Inns,NO,RunsDescending,HS,Ave,BF,SR,100,50,0,4s,6s,
"(Kings XI Punjab, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Shakib Al Hasan,2011-2021,71,52,12,793,66*,19.82,637,124.48,0,2,4,73,21,investigate this query
"(Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Shashank Singh,2022-2025,41,33,14,773,68*,40.68,490,157.75,0,5,2,56,43,investigate this query
"(Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
ST Jayasuriya,2008-2010,30,30,2,768,114*,27.42,532,144.36,1,4,2,84,39,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
Abdul Samad,2020-2025,63,52,14,741,45,19.5,488,151.84,0,0,3,45,50,investigate this query
"(Lucknow Super Giants, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
GC Smith,2008-2011,29,29,3,739,91,28.42,668,110.62,0,4,3,94,9,investigate this query
"(Pune Warriors, Rajasthan Royals)",,,,,,,,,,,,,,,
M Shahrukh Khan,2021-2025,55,49,15,732,58,21.52,491,149.08,0,2,3,46,50,investigate this query
"(Gujarat Titans, Punjab Kings)",,,,,,,,,,,,,,,
AD Mathews,2009-2017,49,42,11,724,65*,23.35,575,125.91,0,1,3,44,29,investigate this query
"(Delhi Daredevils, Kolkata Knight Riders, Pune Warriors)",,,,,,,,,,,,,,,
N Wadhera,2023-2025,36,31,4,719,70,26.62,503,142.94,0,4,1,60,39,investigate this query
"(Mumbai Indians, Punjab Kings)",,,,,,,,,,,,,,,
C Green,2023-2024,29,28,11,707,100*,41.58,460,153.69,1,2,0,62,32,investigate this query
"(Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
T Stubbs,2022-2025,32,30,13,705,71*,41.47,432,163.19,0,3,2,51,37,investigate this query
"(Delhi Capitals, Mumbai Indians)",,,,,,,,,,,,,,,
DC Jurel,2023-2025,42,35,11,680,70,28.33,442,153.84,0,4,3,51,38,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
TL Suman,2009-2013,43,40,8,676,78*,21.12,575,117.56,0,2,3,55,26,investigate this query
"(Deccan Chargers, Mumbai Indians, Pune Warriors)",,,,,,,,,,,,,,,
AM Nayar,2008-2014,60,50,12,672,45*,17.68,577,116.46,0,0,3,55,20,investigate this query
"(Kings XI Punjab, Mumbai Indians, Pune Warriors, Rajasthan Royals)",,,,,,,,,,,,,,,
GJ Bailey,2009-2016,40,37,10,663,61*,24.55,544,121.87,0,2,1,59,19,investigate this query
"(Chennai Super Kings, Kings XI Punjab, Rising Pune Supergiants)",,,,,,,,,,,,,,,
